"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1","7745",1,7745,"17","6","tt",".19"
"2","5884",2,5884,"15","5","nt",".15"
"3","1373",3,1373,"8","7","tn",".4"
"4","3819",4,3819,"13","11","tn",".10"
"5","5878",5,5878,"15","7","nn",".14"
"6","2381",6,2381,"16","12","nn",".6"
"7","3681",7,3681,"9","7","tn",".9"
"8","1712",8,1712,"10","10","tn",".5"
"9","4561",9,4561,"14","10","tt",".11"
"10","3240",10,3240,"16","7","tn",".8"
"11","5457",11,5457,"14","6","tn",".13"
"12","3915",12,3915,"12","9","nn",".10"
"13","4367",13,4367,"6","6","nn",".11"
"14","352",14,352,"17","6","nn",".1"
"15","244",15,244,"17","8","nn",".1"
"16","3103",16,3103,"11","6","nt",".8"
"17","6664",17,6664,"11","4","nn",".16"
"18","1446",18,1446,"17","13","nn",".4"
"19","1013",19,1013,"5","4","nn",".3"
"20","7400",20,7400,"16","9","nn",".18"
"21","1265",21,1265,"16","10","tt",".4"
"22","1026",22,1026,"17","17","nt",".3"
"23","1121",23,1121,"10","6","nt",".3"
"24","4471",24,4471,"7","5","tt",".11"
"25","3376",25,3376,"17","16","tn",".9"
"26","6402",26,6402,"13","7","tt",".16"
"27","3195",27,3195,"17","16","nt",".8"
"28","7235",28,7235,"14","6","tt",".18"
"29","5909",29,5909,"12","12","nn",".15"
"30","7428",30,7428,"17","5","nn",".18"
"31","3485",31,3485,"11","8","tn",".9"
"32","7876",32,7876,"15","12","tt",".19"
"33","7832",33,7832,"8","5","nn",".19"
"34","7921",34,7921,"13","4","tt",".19"
"35","478",35,478,"14","4","tt",".2"
"36","2527",36,2527,"16","11","nt",".7"
"37","7042",37,7042,"9","5","nn",".17"
"38","2019",38,2019,"8","4","tn",".5"
"39","768",39,768,"10","9","tt",".2"
"40","6347",40,6347,"17","16","nt",".16"
"41","4014",41,4014,"15","6","nn",".10"
"42","4891",42,4891,"16","11","nt",".12"
"43","7178",43,7178,"11","4","tn",".18"
"44","2523",44,2523,"13","11","tn",".7"
"45","5072",45,5072,"9","9","nn",".13"
"46","5864",46,5864,"15","15","tn",".14"
"47","7616",47,7616,"16","8","nn",".19"
"48","8258",48,8258,"11","7","nn",".20"
"49","3058",49,3058,"17","7","nt",".8"
"50","7569",50,7569,"17","8","nt",".19"
"51","7033",51,7033,"7","5","nn",".17"
"52","1812",52,1812,"8","8","nn",".5"
"53","2029",53,2029,"6","4","nn",".5"
"54","5015",54,5015,"16","15","tn",".12"
"55","4669",55,4669,"16","13","tn",".12"
"56","3603",56,3603,"15","13","tn",".9"
"57","1122",57,1122,"14","8","nt",".3"
"58","7949",58,7949,"14","13","nt",".19"
"59","1999",59,1999,"15","9","nn",".5"
"60","2165",60,2165,"9","6","nt",".6"
"61","8334",61,8334,"17","7","tn",".20"
"62","1607",62,1607,"14","12","nt",".4"
"63","6160",63,6160,"8","8","tn",".15"
"64","8345",64,8345,"17","14","nt",".20"
"65","3041",65,3041,"12","11","nt",".8"
"66","5508",66,5508,"14","4","tn",".14"
"67","3626",67,3626,"14","11","nt",".9"
"68","3753",68,3753,"16","13","tn",".9"
"69","2180",69,2180,"4","4","nn",".6"
"70","312",70,312,"14","11","nn",".1"
"71","6290",71,6290,"11","11","tt",".15"
"72","3697",72,3697,"12","5","tt",".9"
"73","3347",73,3347,"10","7","tn",".8"
"74","420",74,420,"14","8","tn",".1"
"75","1977",75,1977,"11","9","tt",".5"
"76","246",76,246,"9","9","nt",".1"
"77","4218",77,4218,"17","16","nn",".11"
"78","4588",78,4588,"14","13","tn",".11"
"79","2330",79,2330,"17","10","tn",".6"
"80","5918",80,5918,"10","4","tn",".15"
"81","4055",81,4055,"6","5","tt",".10"
"82","3069",82,3069,"17","11","tn",".8"
"83","7373",83,7373,"12","12","tt",".18"
"84","4642",84,4642,"13","8","nt",".12"
"85","6008",85,6008,"9","9","nt",".15"
"86","1342",86,1342,"16","10","tn",".4"
"87","6847",87,6847,"12","7","tn",".17"
"88","3552",88,3552,"13","12","tt",".9"
"89","1157",89,1157,"15","11","nn",".3"
"90","6925",90,6925,"5","5","tt",".17"
"91","5079",91,5079,"12","6","nn",".13"
"92","1348",92,1348,"17","10","tt",".4"
"93","4360",93,4360,"17","10","nn",".11"
"94","2053",94,2053,"17","9","tn",".5"
"95","2153",95,2153,"16","4","nt",".6"
"96","2570",96,2570,"10","7","tn",".7"
"97","5264",97,5264,"17","5","tn",".13"
"98","5863",98,5863,"15","4","nn",".14"
"99","1349",99,1349,"14","14","tn",".4"
"100","7801",100,7801,"7","6","nt",".19"
"101","2902",101,2902,"16","14","tn",".7"
"102","3501",102,3501,"6","6","tt",".9"
"103","1521",103,1521,"6","5","nn",".4"
"104","691",104,691,"14","10","nt",".2"
"105","3517",105,3517,"16","15","nn",".9"
"106","345",106,345,"16","11","tn",".1"
"107","5786",107,5786,"15","4","tn",".14"
"108","5624",108,5624,"15","10","nn",".14"
"109","8296",109,8296,"15","8","nn",".20"
"110","1147",110,1147,"17","4","tn",".3"
"111","6780",111,6780,"4","4","nn",".17"
"112","2512",112,2512,"15","7","tt",".6"
"113","1155",113,1155,"16","10","nn",".3"
"114","6510",114,6510,"11","11","nt",".16"
"115","186",115,186,"15","7","tt",".1"
"116","6043",116,6043,"8","7","tn",".15"
"117","3033",117,3033,"6","6","tn",".8"
"118","5630",118,5630,"12","8","tn",".14"
"119","6191",119,6191,"11","4","nt",".15"
"120","2544",120,2544,"17","15","tt",".7"
"121","1297",121,1297,"15","8","nn",".4"
"122","4769",122,4769,"11","10","tn",".12"
"123","6837",123,6837,"13","9","nt",".17"
"124","5005",124,5005,"10","4","nt",".12"
"125","403",125,403,"13","11","nt",".1"
"126","5220",126,5220,"12","4","tt",".13"
"127","1166",127,1166,"4","4","nt",".3"
"128","3791",128,3791,"13","6","tt",".10"
"129","421",129,421,"13","8","tt",".2"
"130","6229",130,6229,"17","4","tn",".15"
"131","5053",131,5053,"14","14","nt",".13"
"132","111",132,111,"14","7","nt",".1"
"133","3294",133,3294,"9","8","tt",".8"
"134","8020",134,8020,"15","6","tt",".20"
"135","3987",135,3987,"12","6","tt",".10"
"136","3393",136,3393,"17","5","tn",".9"
"137","7074",137,7074,"16","16","tt",".17"
"138","5020",138,5020,"16","4","nn",".12"
"139","6913",139,6913,"14","13","nt",".17"
"140","3917",140,3917,"14","10","nn",".10"
"141","5849",141,5849,"15","11","tt",".14"
"142","3408",142,3408,"14","12","tt",".9"
"143","6958",143,6958,"13","5","tt",".17"
"144","3678",144,3678,"14","6","tn",".9"
"145","2314",145,2314,"16","14","tt",".6"
"146","4546",146,4546,"15","15","nt",".11"
"147","283",147,283,"15","8","tn",".1"
"148","7985",148,7985,"13","11","nn",".20"
"149","4232",149,4232,"10","8","tn",".11"
"150","1339",150,1339,"16","12","tn",".4"
"151","1464",151,1464,"14","7","tn",".4"
"152","766",152,766,"14","6","tt",".2"
"153","6757",153,6757,"14","8","nn",".17"
"154","5191",154,5191,"10","5","tt",".13"
"155","2496",155,2496,"7","6","tt",".6"
"156","6721",156,6721,"9","6","tt",".17"
"157","4002",157,4002,"11","10","nn",".10"
"158","6603",158,6603,"17","6","nn",".16"
"159","7572",159,7572,"12","9","tt",".19"
"160","1058",160,1058,"11","8","nn",".3"
"161","3738",161,3738,"17","10","nn",".9"
"162","1412",162,1412,"13","4","tt",".4"
"163","4180",163,4180,"8","8","nt",".10"
"164","1751",164,1751,"14","6","nn",".5"
"165","5202",165,5202,"17","17","nn",".13"
"166","4556",166,4556,"12","9","tn",".11"
"167","791",167,791,"13","11","tn",".2"
"168","5396",168,5396,"11","5","tt",".13"
"169","5260",169,5260,"16","10","nt",".13"
"170","3459",170,3459,"15","4","nn",".9"
"171","2334",171,2334,"9","8","nt",".6"
"172","4133",172,4133,"17","15","nt",".10"
"173","2211",173,2211,"17","10","nt",".6"
"174","6618",174,6618,"12","4","nt",".16"
"175","6150",175,6150,"8","6","nn",".15"
"176","7356",176,7356,"15","9","tn",".18"
"177","3650",177,3650,"11","5","tt",".9"
"178","5056",178,5056,"6","4","tt",".13"
"179","8284",179,8284,"17","4","tn",".20"
"180","1206",180,1206,"17","13","tn",".3"
"181","671",181,671,"14","14","tt",".2"
"182","2355",182,2355,"13","12","tn",".6"
"183","175",183,175,"12","7","nt",".1"
"184","4796",184,4796,"17","10","tt",".12"
"185","7010",185,7010,"13","7","tn",".17"
"186","7443",186,7443,"4","4","nn",".18"
"187","3288",187,3288,"15","8","tn",".8"
"188","543",188,543,"14","13","nn",".2"
"189","36",189,36,"13","4","nn",".1"
"190","3748",190,3748,"9","7","tt",".9"
"191","2437",191,2437,"9","7","tn",".6"
"192","5295",192,5295,"15","12","nt",".13"
"193","7170",193,7170,"7","7","nn",".18"
"194","572",194,572,"16","11","nn",".2"
"195","4203",195,4203,"15","7","tn",".11"
"196","5646",196,5646,"12","9","tn",".14"
"197","5330",197,5330,"12","4","nn",".13"
"198","4593",198,4593,"17","6","tn",".11"
"199","3600",199,3600,"11","11","tt",".9"
"200","7751",200,7751,"8","6","tn",".19"
"201","1127",201,1127,"13","7","tn",".3"
"202","2546",202,2546,"9","8","tt",".7"
"203","7697",203,7697,"5","4","tt",".19"
"204","1597",204,1597,"14","6","nn",".4"
"205","3811",205,3811,"13","12","tt",".10"
"206","7650",206,7650,"15","10","nn",".19"
"207","1994",207,1994,"8","5","nt",".5"
"208","842",208,842,"12","9","tt",".3"
"209","5688",209,5688,"10","8","nn",".14"
"210","5793",210,5793,"17","12","nt",".14"
"211","4295",211,4295,"15","8","tn",".11"
"212","7214",212,7214,"11","9","nn",".18"
"213","3226",213,3226,"10","9","nt",".8"
"214","1906",214,1906,"9","7","tn",".5"
"215","683",215,683,"12","4","tt",".2"
"216","3227",216,3227,"12","8","tt",".8"
"217","5271",217,5271,"9","6","nt",".13"
"218","2157",218,2157,"16","10","nt",".6"
"219","3690",219,3690,"17","10","nt",".9"
"220","1053",220,1053,"5","5","nn",".3"
"221","2695",221,2695,"16","6","tn",".7"
"222","2901",222,2901,"13","8","tt",".7"
"223","549",223,549,"5","4","nt",".2"
"224","2679",224,2679,"13","4","tt",".7"
"225","454",225,454,"13","7","nn",".2"
"226","7377",226,7377,"17","14","nt",".18"
"227","3169",227,3169,"16","11","tt",".8"
"228","1368",228,1368,"13","7","nn",".4"
"229","1133",229,1133,"8","7","nt",".3"
"230","5634",230,5634,"16","4","nn",".14"
"231","1556",231,1556,"16","14","nn",".4"
"232","1782",232,1782,"17","14","tn",".5"
"233","4894",233,4894,"10","7","nt",".12"
"234","5865",234,5865,"16","16","nt",".14"
"235","6335",235,6335,"12","9","tt",".16"
"236","6217",236,6217,"4","4","tn",".15"
"237","1995",237,1995,"9","7","nn",".5"
"238","6788",238,6788,"10","10","tt",".17"
"239","3965",239,3965,"7","4","tn",".10"
"240","5395",240,5395,"10","5","nt",".13"
"241","4191",241,4191,"11","5","tt",".10"
"242","4506",242,4506,"5","4","nn",".11"
"243","2431",243,2431,"12","7","nn",".6"
"244","3544",244,3544,"17","6","nt",".9"
"245","4848",245,4848,"15","4","tt",".12"
"246","1476",246,1476,"12","4","tt",".4"
"247","990",247,990,"12","4","nn",".3"
"248","4311",248,4311,"16","16","nt",".11"
"249","4029",249,4029,"16","14","nt",".10"
"250","4633",250,4633,"13","7","nn",".12"
"251","6088",251,6088,"16","4","nn",".15"
"252","8262",252,8262,"15","4","nt",".20"
"253","2297",253,2297,"17","10","nn",".6"
"254","6534",254,6534,"15","11","nn",".16"
"255","240",255,240,"12","6","tn",".1"
"256","8244",256,8244,"13","13","nt",".20"
"257","4323",257,4323,"13","9","tn",".11"
"258","5266",258,5266,"5","4","tn",".13"
"259","1287",259,1287,"13","8","tt",".4"
"260","1094",260,1094,"8","8","nn",".3"
"261","1320",261,1320,"14","4","tn",".4"
"262","2887",262,2887,"17","14","tt",".7"
"263","6084",263,6084,"16","6","nn",".15"
"264","1992",264,1992,"10","8","tn",".5"
"265","3566",265,3566,"10","7","nt",".9"
"266","3554",266,3554,"14","10","tn",".9"
"267","3767",267,3767,"7","6","nt",".9"
"268","4650",268,4650,"16","5","nt",".12"
"269","267",269,267,"17","16","nn",".1"
"270","1211",270,1211,"10","5","tt",".3"
"271","272",271,272,"8","4","tn",".1"
"272","1862",272,1862,"14","8","nn",".5"
"273","1859",273,1859,"15","15","nn",".5"
"274","536",274,536,"15","12","tt",".2"
"275","1029",275,1029,"8","5","tn",".3"
"276","3986",276,3986,"12","12","tt",".10"
"277","1217",277,1217,"8","8","nt",".3"
"278","2124",278,2124,"14","5","nn",".6"
"279","6518",279,6518,"16","8","tt",".16"
"280","6859",280,6859,"13","13","tt",".17"
"281","334",281,334,"12","12","nt",".1"
"282","1135",282,1135,"7","7","tt",".3"
"283","8222",283,8222,"16","13","nn",".20"
"284","259",284,259,"13","10","tt",".1"
"285","2601",285,2601,"16","15","nn",".7"
"286","4003",286,4003,"12","11","tt",".10"
"287","8180",287,8180,"10","5","nt",".20"
"288","7599",288,7599,"17","8","nn",".19"
"289","1769",289,1769,"14","5","tn",".5"
"290","390",290,390,"14","6","nn",".1"
"291","942",291,942,"9","4","tt",".3"
