"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1","3459",1,3459,"10","2","tn",".8"
"2","3051",2,3051,"11","10","tt",".7"
"3","178",3,178,"5","2","nn",".1"
"4","107",4,107,"8","2","nn",".1"
"5","430",5,430,"12","11","tn",".1"
"6","3429",6,3429,"5","2","tt",".8"
"7","1728",7,1728,"12","4","nt",".4"
"8","1070",8,1070,"3","3","nn",".3"
"9","1134",9,1134,"10","4","tt",".3"
"10","2875",10,2875,"2","1","nt",".7"
"11","3638",11,3638,"11","9","tn",".8"
"12","1707",12,1707,"8","5","tn",".4"
"13","3379",13,3379,"3","3","tn",".8"
"14","3609",14,3609,"12","3","nt",".8"
"15","369",15,369,"14","8","tt",".1"
"16","3463",16,3463,"14","7","nn",".8"
"17","1393",17,1393,"13","10","tt",".3"
"18","1009",18,1009,"13","12","nt",".3"
"19","2441",19,2441,"9","8","nt",".6"
"20","1035",20,1035,"10","0","tt",".3"
"21","199",21,199,"9","1","nt",".1"
"22","4637",22,4637,"13","8","nn",".10"
"23","1648",23,1648,"13","2","tn",".4"
"24","1775",24,1775,"14","9","nn",".4"
"25","123",25,123,"7","1","nt",".1"
"26","75",26,75,"8","0","tt",".1"
"27","2406",27,2406,"13","0","nt",".6"
"28","2263",28,2263,"11","2","nt",".5"
"29","219",29,219,"5","1","tt",".1"
"30","1510",30,1510,"3","2","nt",".4"
"31","785",31,785,"5","2","tt",".2"
"32","1312",32,1312,"11","6","tt",".3"
"33","4011",33,4011,"13","1","nt",".9"
"34","2985",34,2985,"13","9","tn",".7"
"35","4314",35,4314,"11","11","tn",".10"
"36","2690",36,2690,"10","8","tn",".6"
"37","1787",37,1787,"13","3","tt",".4"
"38","277",38,277,"9","9","nn",".1"
"39","1621",39,1621,"8","6","nt",".4"
"40","4469",40,4469,"13","7","tn",".10"
"41","1860",41,1860,"10","5","tt",".4"
"42","174",42,174,"12","8","tn",".1"
"43","2952",43,2952,"6","1","tt",".7"
"44","4747",44,4747,"8","8","nn",".10"
"45","3418",45,3418,"11","8","nn",".8"
