"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1","554",1,554,"12","9","nn",".2"
"2","1951",2,1951,"13","12","tn",".5"
"3","9004",3,9004,"14","13","nn",".19"
"4","9910",4,9910,"6","1","tn",".21"
"5","6861",5,6861,"6","4","nn",".15"
"6","9929",6,9929,"10","7","tn",".21"
"7","12425",7,12425,"11","7","nt",".27"
"8","5220",8,5220,"12","1","tn",".11"
"9","4416",9,4416,"8","0","nn",".10"
"10","7937",10,7937,"14","9","nn",".17"
"11","3173",11,3173,"1","1","nt",".7"
"12","977",12,977,"14","4","tn",".3"
"13","13171",13,13171,"14","4","tn",".28"
"14","5908",14,5908,"7","3","nn",".13"
"15","2875",15,2875,"2","1","nt",".7"
"16","10035",16,10035,"3","2","nn",".22"
"17","9451",17,9451,"10","2","nn",".20"
"18","4305",18,4305,"2","0","nt",".10"
"19","3272",19,3272,"6","2","tn",".7"
"20","3021",20,3021,"8","0","nn",".7"
"21","11276",21,11276,"14","8","tn",".24"
"22","411",22,411,"13","8","nn",".1"
"23","10647",23,10647,"14","3","nn",".23"
"24","769",24,769,"13","2","nt",".2"
"25","750",25,750,"14","13","tt",".2"
"26","3581",26,3581,"11","10","tt",".8"
"27","920",27,920,"9","0","tt",".2"
"28","12644",28,12644,"11","11","tn",".27"
"29","10093",29,10093,"9","0","tn",".22"
"30","2880",30,2880,"13","5","tt",".7"
"31","14182",31,14182,"11","6","tt",".30"
"32","2244",32,2244,"2","2","nt",".5"
"33","10665",33,10665,"12","8","nn",".23"
"34","10079",34,10079,"8","6","tt",".22"
"35","14019",35,14019,"5","0","tn",".30"
"36","7870",36,7870,"10","7","nn",".17"
"37","3728",37,3728,"8","0","tn",".8"
"38","2883",38,2883,"4","1","nn",".7"
"39","11405",39,11405,"13","5","nn",".24"
"40","10155",40,10155,"4","0","nn",".22"
"41","3042",41,3042,"5","5","nn",".7"
"42","11135",42,11135,"14","10","nt",".24"
"43","6104",43,6104,"12","11","nn",".13"
"44","9335",44,9335,"14","2","nn",".20"
"45","12870",45,12870,"6","4","nn",".28"
"46","7468",46,7468,"3","2","tt",".16"
"47","13256",47,13256,"10","8","tt",".28"
"48","3718",48,3718,"11","4","tn",".8"
"49","3674",49,3674,"8","2","tn",".8"
"50","7169",50,7169,"9","2","nn",".16"
"51","13767",51,13767,"12","4","tn",".29"
"52","3427",52,3427,"11","6","tt",".8"
"53","12565",53,12565,"1","0","tn",".27"
"54","2795",54,2795,"8","1","tn",".6"
"55","11060",55,11060,"8","2","nt",".24"
"56","10402",56,10402,"14","3","nt",".22"
"57","4669",57,4669,"13","11","nt",".10"
"58","12361",58,12361,"6","6","tn",".26"
"59","13845",59,13845,"11","11","tt",".30"
"60","8776",60,8776,"9","6","tt",".19"
"61","2200",61,2200,"7","5","tn",".5"
"62","2346",62,2346,"5","0","nn",".5"
"63","8176",63,8176,"7","3","tn",".18"
"64","12111",64,12111,"6","1","nt",".26"
"65","7480",65,7480,"9","6","tn",".16"
"66","3493",66,3493,"10","10","nt",".8"
"67","4261",67,4261,"8","6","tn",".9"
"68","2948",68,2948,"14","14","nt",".7"
"69","10299",69,10299,"11","1","nn",".22"
"70","12224",70,12224,"14","11","nn",".26"
"71","100",71,100,"11","0","tt",".1"
"72","8468",72,8468,"12","11","tn",".18"
"73","4168",73,4168,"9","1","tn",".9"
"74","14100",74,14100,"5","5","tt",".30"
"75","10006",75,10006,"10","10","tn",".22"
"76","7267",76,7267,"12","0","nn",".16"
"77","8058",77,8058,"3","1","tn",".17"
"78","13980",78,13980,"11","8","tt",".30"
"79","4234",79,4234,"9","4","nn",".9"
"80","3651",80,3651,"6","5","nn",".8"
"81","8867",81,8867,"8","4","tt",".19"
"82","10481",82,10481,"12","12","nn",".23"
