"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1","96",1,"96.1","5","5","n",".1"
"2","275",2,"275.1","4","15","n",".1"
"3","298",3,"298.1","9","16","n",".1"
"4","376",4,"376.1","15","0","t",".1"
"5","174",5,"174.1","11","9","n",".1"
"6","131",6,"131.1","4","7","n",".1"
"7","303",7,"303.1","14","16","n",".1"
"8","625",8,"625.1","12","14","t",".1"
"9","309",9,"309.1","2","17","n",".1"
"10","50",10,"50.1","13","2","n",".1"
"11","242",11,"242.1","7","13","n",".1"
"12","290",12,"290.1","1","16","n",".1"
"13","188",13,"188.1","7","10","n",".1"
"14","617",14,"617.1","4","14","t",".1"
"15","551",15,"551.1","10","10","t",".1"
"16","199",16,"199.1","0","11","n",".1"
"17","689",17,"689.1","4","18","t",".1"
"18","413",18,"413.1","16","2","t",".1"
"19","414",19,"414.1","17","2","t",".1"
"20","359",20,"359.1","16","19","n",".1"
"21","146",21,"146.1","1","8","n",".1"
"22","324",22,"324.1","17","17","n",".1"
"23","112",23,"112.1","3","6","n",".1"
"24","464",24,"464.1","13","5","t",".1"
"25","410",25,"410.1","13","2","t",".1"
"26","4",26,"4.1","3","0","n",".1"
"27","341",27,"341.1","16","18","n",".1"
"28","102",28,"102.1","11","5","n",".1"
"29","715",29,"715.1","12","19","t",".1"
"30","307",30,"307.1","0","17","n",".1"
"31","322",31,"322.1","15","17","n",".1"
"32","162",32,"162.1","17","8","n",".1"
"33","191",33,"191.1","10","10","n",".1"
"34","108",34,"108.1","17","5","n",".1"
"35","634",35,"634.1","3","15","t",".1"
"36","128",36,"128.1","1","7","n",".1"
"37","646",37,"646.1","15","15","t",".1"
"38","699",38,"699.1","14","18","t",".1"
"39","118",39,"118.1","9","6","n",".1"
"40","708",40,"708.1","5","19","t",".1"
"41","77",41,"77.1","4","4","n",".1"
"42","481",42,"481.1","12","6","t",".1"
"43","415",43,"415.1","0","3","t",".1"
"44","318",44,"318.1","11","17","n",".1"
"45","138",45,"138.1","11","7","n",".1"
"46","692",46,"692.1","7","18","t",".1"
"47","696",47,"696.1","11","18","t",".1"
"48","360",48,"360.1","17","19","n",".1"
"49","241",49,"241.1","6","13","n",".1"
"50","107",50,"107.1","16","5","n",".1"
